caseid,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21
1001230385,998,8,3,998,5,2,998,998,998,6,7,998,9,10,4,998,998,1,998,998
1001231213,998,1,998,998,998,3,4,998,998,998,998,998,998,998,2,998,998,998,998,998
1001119057,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,1,998,998
1001230881,998,1,998,998,7,5,998,998,998,3,6,998,4,998,998,998,998,2,998,998
1001226275,998,3,998,998,2,998,998,998,998,4,998,998,998,998,998,998,998,1,998,998
1001231717,6,3,5,998,1,7,998,998,998,4,998,998,9,8,10,998,998,2,998,998
1001231677,998,2,4,998,998,6,998,998,998,1,5,998,998,998,998,998,998,3,998,998
1001236459,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998
1001237033,10,4,998,998,6,7,8,9,998,5,998,998,2,998,3,998,998,1,998,998
1001237971,998,4,3,998,5,998,998,8,998,7,998,998,6,998,1,998,998,9,10,2
1001236651,998,2,998,998,998,998,998,998,998,998,998,998,998,998,1,998,998,998,998,998
1001236699,7,2,4,998,998,998,998,998,9,5,998,998,998,998,6,3,8,1,10,998
1001236731,1,5,998,998,998,3,10,9,998,8,998,6,998,2,998,998,4,7,998,998
1001238111,4,998,9,3,998,998,10,8,998,998,998,7,998,2,998,5,998,1,6,998
1001237059,8,1,998,4,998,3,998,9,2,998,10,998,6,5,998,998,998,998,998,7
1001238283,998,3,1,998,5,998,998,998,998,998,998,998,998,998,998,998,998,2,998,4
1001161313,998,1,6,998,998,5,998,998,998,4,998,998,2,998,3,998,998,998,7,998
1001138775,998,1,4,998,998,998,998,998,998,3,998,998,2,998,5,998,998,998,998,998
1001238699,998,1,998,998,998,3,998,998,998,998,998,998,998,998,2,998,998,998,998,998
1001243361,9,998,7,998,3,8,998,6,998,998,5,998,4,10,1,998,998,2,998,998
1001238445,998,1,5,998,7,10,998,998,998,3,998,998,6,998,4,998,8,2,998,9
1001237639,998,2,6,998,5,3,998,998,998,4,7,998,8,998,998,998,10,1,998,9
1001236717,10,1,998,2,4,5,998,8,998,3,9,998,7,6,998,998,998,998,998,998
1001244163,998,1,6,998,2,4,5,998,998,7,998,998,3,998,10,998,998,9,998,8
1001237569,998,1,998,7,6,998,998,998,998,3,998,998,4,998,5,998,998,2,998,998
1001244383,998,8,998,998,6,7,998,998,1,998,10,998,9,998,3,998,998,4,5,2
1001230489,3,998,998,998,998,998,998,998,1,998,998,998,4,998,2,998,998,998,998,998
1001245565,998,1,998,998,998,998,998,998,998,998,998,998,998,998,3,998,998,2,998,998
1001122729,5,1,998,998,998,998,998,998,998,2,4,998,998,998,998,998,998,3,998,998
1001252215,998,7,6,4,998,998,998,8,10,3,998,998,998,998,1,998,5,998,9,2
1001253495,998,4,6,998,998,998,998,998,998,1,998,3,998,998,998,998,5,2,998,998
1001257675,998,1,5,998,7,4,998,998,998,9,998,998,8,998,3,998,998,2,998,6
1001131631,998,2,8,998,3,10,998,998,9,4,998,998,5,998,6,998,998,1,998,7
1001131323,998,2,9,998,998,1,6,998,998,5,998,998,998,10,4,998,7,3,998,8
1001232975,998,7,5,998,2,3,998,998,998,10,998,998,6,8,998,998,4,1,998,9
1001107799,998,1,998,998,998,998,998,998,998,998,998,998,3,998,998,998,998,998,998,2
1001142217,9,6,1,8,10,998,998,4,998,998,2,998,998,3,998,5,998,7,998,998
1001138993,998,998,998,998,998,998,998,998,2,998,998,998,998,998,998,998,998,998,998,1
1001292261,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998
1001150517,998,2,3,998,998,998,998,998,998,998,998,998,998,998,1,998,998,998,998,4
1001203081,998,2,998,998,998,998,998,4,998,998,998,998,998,998,1,998,998,3,998,998
1001150579,998,998,998,3,5,2,998,998,998,4,9,998,8,998,998,998,1,6,10,7
1001297075,3,998,998,998,998,998,2,998,1,998,998,998,998,998,5,998,998,998,4,998
1000209931,998,3,998,998,4,998,10,9,998,5,998,998,6,998,2,8,7,1,998,998
1001239941,7,1,998,10,8,998,998,9,3,998,998,998,998,998,2,5,4,998,6,998
1001296945,998,998,998,998,998,3,998,998,998,998,998,998,998,998,1,998,998,2,998,4
1001233005,3,1,7,998,5,8,998,998,998,4,10,998,998,9,6,998,998,2,998,998
1001031797,998,1,2,10,998,998,7,998,998,6,8,998,998,9,4,998,998,3,5,998
