caseid,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5
1001230385,5,4,3,2,1
1001231213,1,4,5,2,3
1001119057,3,4,5,2,1
1001230881,1,4,3,5,2
1001226275,3,2,4,5,1
1001231717,4,1,2,5,3
1001231677,2,5,1,4,3
1001236459,998,998,998,998,998
1001237033,3,5,4,2,1
1001237971,4,3,5,1,2
1001236651,3,5,4,1,2
1001236699,2,4,3,5,1
1001236731,997,997,997,997,997
1001238111,4,2,5,3,1
1001237059,1,5,3,2,4
1001238283,2,3,4,5,1
1001161313,1,4,3,2,5
1001138775,1,3,4,2,5
1001238699,1,5,4,2,3
1001243361,5,3,4,1,2
1001238445,1,4,5,3,2
1001237639,2,5,4,3,1
1001236717,1,3,2,5,4
1001244163,1,2,3,5,4
1001237569,1,5,3,4,2
1001244383,4,3,5,1,2
1001230489,3,4,5,1,2
1001245565,1,5,4,3,2
1001122729,1,4,2,5,3
1001252215,2,5,3,1,4
1001253495,3,4,1,5,2
1001257675,1,4,5,3,2
1001131631,3,2,4,5,1
1001131323,1,5,4,3,2
1001232975,5,3,2,4,1
1001107799,2,5,4,3,1
1001142217,3,4,1,5,2
1001138993,1,998,2,998,998
1001292261,998,998,998,998,998
1001150517,2,4,5,1,3
1001203081,2,5,4,1,3
1001150579,997,997,997,997,997
1001297075,998,998,1,998,998
1000209931,3,4,5,2,1
1001239941,1,3,5,2,4
1001296945,998,998,998,1,2
1001233005,1,3,4,5,2
1001031797,1,5,4,3,2
1001296863,1,5,4,3,2
1001293447,5,4,3,1,2
1000755467,997,997,997,997,997
1000798249,998,998,998,998,998
1000518489,1,5,3,2,4
1001127995,2,3,998,4,1
1001260735,1,3,4,2,5
1001246979,4,3,5,2,1
1001246997,998,998,998,1,998
1001142351,2,3,4,5,1
1001295993,5,3,4,2,1
1000818743,4,3,1,5,2
1000100809,1,4,3,5,2
1001164667,4,5,1,3,2
1001122645,2,3,4,5,1
1001260745,998,998,998,1,2
1001164189,5,3,4,2,1
1001027609,3,5,2,4,1
1001457753,2,4,3,5,1
1001562163,1,5,4,3,2
1001562155,5,3,4,2,1
1001557415,2,4,3,5,1
1001473933,3,5,2,4,1
1001562351,4,2,1,3,5
1001401273,4,3,2,5,1
1001512591,5,3,1,4,2
1001562837,1,4,3,5,2
1001558759,5,2,1,4,3
1001563159,5,4,3,2,1
1001563041,2,998,998,1,3
1001562997,998,1,3,998,2
1001473789,998,998,998,1,998
1001563111,998,998,998,1,2
1001521491,1,3,5,4,2
1001563049,1,3,2,5,4
1001528973,1,2,4,5,3
1001563047,3,5,4,1,2
1001551759,2,3,5,4,1
1001568613,5,1,3,4,2
1000112507,1,3,4,2,5
1001511559,997,997,997,997,997
1001556487,5,4,2,3,1
1001568473,4,3,2,5,1
1001569371,998,998,998,998,998
1001501489,4,2,3,5,1
1001568561,1,2,5,4,3
1001563255,1,4,3,5,2
1001569013,3,1,2,998,998
1001511539,2,3,1,5,4
1001568991,5,2,4,3,1
1001556151,998,998,998,1,998
1001511619,1,3,4,5,2
1001563027,998,998,998,998,998
1001568967,5,2,3,4,1
1000610781,5,4,1,3,2
1001510757,997,997,997,997,997
1001569765,997,997,997,997,997
1001564621,3,5,4,1,2
1001569095,3,1,4,5,2
1001568937,2,5,1,3,4
1001520043,2,1,3,4,5
1001528841,1,4,5,3,2
1001512091,1,4,5,3,2
1001557141,1,5,3,4,2
1001569507,4,3,2,5,1
1001569667,1,4,2,5,3
1001445243,1,3,4,5,2
1001569665,1,5,4,2,3
1001530629,5,4,3,2,1
1001569721,1,4,5,2,3
1001570223,1,4,5,2,3
1001529275,2,4,3,5,1
1001474709,1,3,5,4,2
1001473797,1,5,3,4,2
1001570863,1,2,4,5,3
1001548249,2,5,3,4,1
1001574445,4,5,3,1,2
1001239973,5,3,4,1,2
1001572435,4,3,5,1,2
1001570483,4,2,3,5,1
1001570853,4,5,1,2,3
1001547279,4,1,5,3,2
1000755643,5,4,2,3,1
1001576463,5,3,4,2,1
1001501337,5,4,2,3,1
1001473509,4,2,1,5,3
1001563377,4,3,2,5,1
1001475177,997,997,997,997,997
1001529867,998,998,998,998,998
1001474899,1,2,998,3,4
1001576441,1,4,5,2,3
1001576685,1,4,2,5,3
1001548405,1,2,5,3,4
1001576631,4,1,5,2,3
1001519985,2,4,1,5,3
1001520109,1,5,4,2,3
1001570375,3,4,2,5,1
1001576753,998,998,998,998,998
1001512579,1,3,5,4,2
1000895781,4,3,2,5,1
1001522121,1,2,4,5,3
1001502455,3,2,1,5,4
1001576699,1,5,4,3,2
1001170005,2,1,5,4,3
1000811753,3,5,4,2,1
1001521729,1,5,3,4,2
1001577513,5,2,3,4,1
1001572339,4,2,3,5,1
1000267167,3,4,2,5,1
1001576329,998,998,998,998,998
1001577467,998,998,1,998,2
1001512469,5,2,3,4,1
1001577443,3,4,5,2,1
1001577533,5,3,2,4,1
1001577649,1,4,5,2,3
1001570367,2,4,5,3,1
1001510603,4,2,3,5,1
1001578053,1,5,4,2,3
1001520363,4,5,3,1,2
1001520125,2,5,4,3,1
1001557089,5,3,1,4,2
1001510767,1,5,2,4,3
1001415029,1,3,4,5,2
1001572479,4,3,5,2,1
1001578011,2,998,998,1,998
1001521861,4,3,5,2,1
1001578085,5,3,4,2,1
1001565095,5,3,2,4,1
1001521169,1,5,4,3,2
1001570923,5,2,1,4,3
1001577693,1,3,998,2,998
1001568873,998,998,998,1,2
1001548997,998,3,4,1,2
1001578161,1,998,998,2,998
1001578189,5,4,3,1,2
1001467537,5,4,3,2,1
1001565099,1,4,5,3,2
1001556603,3,4,1,5,2
1001577957,4,1,2,5,3
1001577241,4,3,5,2,1
1001474957,5,1,4,3,2
1001195137,1,4,5,3,2
1001577749,2,1,4,3,5
1000826253,3,4,2,998,1
1001578773,4,5,3,1,2
1001528811,2,3,4,5,1
1001578443,4,3,5,1,2
1001578395,5,4,2,3,1
1001578585,2,4,5,1,3
